language;text;class
"en";"being sick is the worst🤧";1
"en";"Hate being sick🤒🤒";1
"en";"Sick Glenda @BJahnk16";0
"en";"I'm home sick today ☹️";1
"en";"'why tf u ain't eat it cold' 💀💀💀💀 https://t.co/k11njQg756";0
"en";"I'm really a sick ass bitch idk why niggas is playing with me word to my moms";0
"en";"Feeling the chill? Our darkside collection will see you through the cold nights ahead. @NobbysBrewery @Purityale… https://t.co/F5WO3oYo9h";0
"en";"Vegan flu https://t.co/xYg7xq5uwL";0
"en";"Yeah, he got so sick of Trump he checked himself into the hospital... https://t.co/HMUkwa8gXv";0
"en";"2016 was the hottest year yet BS- Warm periods (some warmer than today) followed by cold. Guess what's next? Brrr. https://t.co/UdT5N2Ebv8";0
"en";"When the dermatologist's office is so cold that you gotta put your coat on over your gorgeous paper gown. https://t.co/B8tx2JHfRm";0
"en";"bro I wanna cry I'm so happy for u!!!!!!!!!!!!! #ISSSSSSABOY😍 and thanks. U just gave me hella baby fever 🤕🤷🏽‍♀️ https://t.co/hYt8x4hZ0v";0
"en";"2016 was the hottest year on record. 16 of 17 hottest years occurred after 2000. Last record cold year was 1911. https://t.co/JRXFa6CZc3";0
"en";"Lol i'm so sick of playing w/people kids.";0
"en";"So cold man 😭";0
"en";"im sick of yall 'jamaicans'";0
"en";"@NaialahJenelle bitch you know how sick I always get 🙄";0
"en";"I'm cold and tired and wet just wanna nap plz send help sos";0
"en";"@steph93065 Obama's actions honestly make me sick! Each day I see how ppl are portraying @realDonaldTrump is even more infuriating!";0
"en";"Econ prof is playing sick tunes in class";0
"en";"so cold and windy rn https://t.co/Njdpa7SvTD";0
"en";"Bro my room be cold as shit";0
"en";"Having to do anything when it's this cold is just unacceptable lol";0
"en";"big hearted but really wish i was a little cold hearted https://t.co/Q3NPOxxo1M";0
"en-GB";"So sick of shitey little cuts on my hands. Like bitch where you come from?";0
"en";"Rumor is my teacher cancelled class because he is sick but he didn't send out an email so idk whether to be mad or happy about this";0
"en";"I went home sick. Thank God I can telework the rest of the day. 🤒";1
"en";"can't believe i got this sick in a day";1
"en";"@OnTheRoadNL cold!";0
"en";"sick and tired of saying that i told you so";0
"en";"She's like cold coffee in the morning i'm drunk off last night's whiskey and coke😔";0
"en";"You know you're in for a good episode of Come Dine With Me when one of the guests brings a SICK BAG to the first meal.";0
"en";"Rodgers on Lebatard show: Can you even make that throw (to Cook) in a cold Lambeau? 'I Think we both know the answer to that' #ClassicAaron";0
"en";"@DuncanPhillips3 depends on how cold it is";0
"en";"When you broke and hungry.... why dont you just eat a cold sandwich!?!? https://t.co/1RvpD7mU5C";0
"en";"I'm sick of everyone assuming I'm a shit guy.";0
"en";"I don't mind being single,but being sick &amp; all alone is fucked up. No one to take care of you feels like death!";1
"en";"A boogie real deal cold idc idc 😭🤷🏽‍♀️";0
"en";"@SandalsResorts I sure could and get out of this cold rainy day here in Boston, Ma.";0
"en";"i think it's so sick that my paycheck has been delayed 4 days because my managers forgot to approve it 🙃";0
"en";"Damn I'm super sick 😷 #no_bueno";1
"en";"#loveisafourleggedword #rex #balou #cold #winter #cozy #home #warm @… https://t.co/6aY05ZxtMm";0
"en";"Super Cold weather = socks on and 3 blankets. ❄️";0
"en";"I am SO sick. I'm throwing up every hour cant even hold water down witH. Out it coming back up";1
"en";"Can't even eat a cold ass sandwich https://t.co/w4UnMQQzfJ";0
"en";"But yeah, you know your dog loves you when they physically get sick when you are away and sick. Plus, she loves to be dramatic.";0
"en";"@TheRunner87 @jantoin Get them demons out your head, have a cold beer and keep the faith";0
"en";"@MuaHaHa2016 Oh that's sad. You actually think it would be a cold war you're so removed from reality? Keep voting your children to war then.";0
"en";"'Why tf you ain't eat it cold'💀💀💀 https://t.co/j2M4ltNLaT";0
"en";"Feeling cold and tired usually I feel a bit wiped after a night but today I feel a bit useless.… https://t.co/RtxTRJY897";0
"en";"I'm sick as shit!";1
"en";"I don't 'hope' it's not cold..I wear a coat";0
"en";"I have cabin fever someone sound the alarm! I was going to request Boat Drinks from @JDSpradlin but he read my mi… https://t.co/y49ECI2jBr";0
"en";"I hate being sick. My lungs feel so poopy.";1
"en";"@ChilledChaos oh my god you poor thing. Just come to England, it's dark like 20 out of 24 hours of the day. Cold, but you can wrap up!";0
"en";"I haven't been this sick in a long time";1
"en";"no illusions about Trump or Putin, but fanning new cold [hot?] war flames serves people of neither country, only Deep State and billionaires";0
"en";"'Forget football, I want to change the way America looks at cake. A thin layer of icing doesn't make you sick.' @ColinCowherd @TheHerd";0
"en";"Streets Get cold Listen to YEAH I KNOW-DeeMoe by Dee Moe #np on #SoundCloud https://t.co/v5vV90aYPM";0
"en";"I hate being sick 😒";1
"en";"I love having a fire place bc whenever I'm cold I just sit in front of it 🔥";0
"en";"Morning sorry I over sleepy but I'm sick as a dog";1
"en";"At Wrk sick as a dog but I still manage to make it";1
"en";"Makes me sick looking at her. I hope she goes on no fly list so she can be brought to justice and not able to get a… https://t.co/ux9o0Wz3nf";0
"en";"Don’t be fooled by the elegant frames of #Optima Chamfered – it'll win any fight against the #cold &gt;… https://t.co/9Z8bcT4xz0";0
"en";"Good morning from #CBJ practice. No Zach Werenski. He told me last night he was feeling sick. We'll get an update after practice.";0
"en";"nothing i hate more than being cold";0
"en";"Might be the only thing to sort my cold out https://t.co/YgF4UMOFB6";1
"en";"Enjoying my post duty coffee on this cold weather. ☕️😄 @ NHA… https://t.co/isZpTKxc5J";0
"en";"Feel myself getting sick 😷🤧";1
"en";"Sinus &amp; Head cold killing me";1
"en";"soooo cold";0
"en";"My professor has a sick beard, a half sleeve, is wearing a tie with colorful skulls, and used the word 'clusterfuck' Heck yeah college";0
"en";"I. Hate. Being. Sick!";1
"en";"I feel so sick https://t.co/bh290DVxz2";1
"en";"@tfh4 @GOP @SpeakerRyan I didn't ask to be sick nor did my daughter. Believe me. If I could change it I totally would.";1
"en";"'Why tf you ain't eat it cold?' 😂😂😂😂";0
"en";"If I'm getting sick I will cry";1
"en";"Where are we in the 76 year cycle of heat an cold? https://t.co/i2bTrEQrKx";0
"en";"@Sirenseyye sounds sick";0
"en";"Today, I am that annoying kid coughing and sniffling during class. 🤧😰";1
"en";"@assholealexsys like really I've been sick for ALMOST A MONTH BECAUSE OF THE 1ST DUMB ASS DOCTOR I SAW";1
"en";"i hate being sick, i just want to sleeep";1
"en";"I'm reading Helter Skelter at home on a sick day, and I had some very weird fever dreams when I fell asleep reading… https://t.co/hFPGoPo5Tf";1
"en";"@b33r_g33k_55 Not a bad place to be, Joe. There's lots of beer here. Kind of cold, though.";0
"en";"Me waking up sick as fuck realizing I have work tonight and can't call in https://t.co/46h9sYqpxw";1
"en";"I'm reading Helter Skelter at home on a sick day, and I had some very weird fever dreams when I fell asleep reading… https://t.co/vY8QkUDOO5";1
"en";"@mannion_lance @SANDRAYYCNW /5 &amp; time to end Cold War thinking. She's a legislator first. She's made that abundantly clear &amp; I respect that.";0
"en";"I am soooooo cold";0
"en";"How to: get rid of the flu without health insurance--Die.";0
"en";"Come in out of the cold! We are open! @ Cole's Fine Foods - Always 100% Gluten Free. https://t.co/YL62ZGe3Mv";0
"en";"No matter how cold it is I can bet there's always going to be at least one guy walking around in a tank trying to flex his guns";0
"en";"'why tf you ain't eat it cold?' 💀 https://t.co/dNrPCgaFP1";0
"en";"It's been a good week except I'm sick lol https://t.co/shs8x9i1mW";1
"en";"Cold, rainy days really show you who the dedicated smokers are.";0
"en";"This would look sick in my car😍😍 https://t.co/ftomJS2FPP";0
"en";"I'm definitely going to be hella sick by the end of the week. I'm literally sitting in my chair soaking wet from this rain 🙃";0
"en";"I'm going to be really disappointed if I got up for cold pizza and Forrest ate it all";0
"en";"I'm honestly sick of seeing Axell Hodges doing the same video over and over and over.. the first one was cool, but it's the same shit..";0
"en";"@borenbears This can be explained by increases in WV brought about by MOC, since it makes a bigger impact on where its cold/dry";0
"en";"@BarryWBZ no cold air in sight!";0
"en";". hurt so bad i , didn`t want no one to bring me down , was sick &amp; tired , then you came to lift me off the ground !";0
"en";"I hate being sick";1
"en";"&amp; ofcourse im getting sick 😥";1
"en";"maybe ur cold because you're wearing no clothes??? But Idk ¯\_(ツ)_/¯";0
"en";"soooo cold😩";0
"en";"HATE being sick 🤧";1
"en";"@LisaF713 me too but when the big cold comes it's a shock to the system 😊😚";0
"en";"@_mfVonLee oml that video had me crying. Cuhh said why you jus didn't eat it cold";0
"en";"I look like trash today I'm so sick";1
"en";"Glad to hear it I hate the cold https://t.co/LEve4uDApg";0
"en";"And I 🙏🏽 to god I Dnt get sick out there";0
"en";"Everywhere I go everybody is coughing and sniffling. This weather is causing a lot of sinus and colds";0
"en";"I'm so tired of feeling sick 😩";1
"en";"It's so cold";0
"en";"Right type of lunch for this cold dreary day @ Boardman, Ohio https://t.co/Cja13dMa5w";0
"en";"@Mnky74 The recent Battlefield looks really sick. Haven't had time to pick it up yet though";0
"en";"@THEROSHEE this pasta is sick";0
"en";"Flu";1
"en";"Stunning Sunrise at Work #sunrise #sun #sky #wetlands #winter #cold #animals… https://t.co/brdmQXeZB2";0
"en";"Escape the cold with Eres. Selected pieces now 30% off. Shop now at https://t.co/Q8FpAwGZSt #truelovelondon… https://t.co/iydLJ2Kgb3";0
"en";"with the @ChevyTrucks #Silverado u'll be powerful than the cold of the winter days❄️😷";0
"en";"Back at work, after a bad fever over the weekend.. (@ Kirtland Air Force Base in Albuquerque, NM) https://t.co/F231dCLBju";1
"en";"@NorahODonnell hottest year on record?Good, I don't like the cold.";0
"en";"Every time I look at the Jazz's record, I take sick pleasure thinking about all the Negative Nancy fans' tweets preseason and early this yr.";0
"en";"and it's freakin cold up here 😩😩";0
"en";"@TGBGclan workin tryna get over this damn cold lol";1
"en";"Sick of feeling ill 😩😷";1
"en";"Seriously i aint slay my pregnancy for shit I was sick af 😭 https://t.co/PCESSptyhD";0
"en";"@Bx2Ben how sick are you lol cause I'm hungry and need someone to bring me some food";0
"en";"Ok Pangbourne our Nordic walking GlowWorms are out staying fit on this dark cold winter night! Are you ready for us… https://t.co/oPy6VeMX1j";0
"en";"Somebody's little stank ass kids got me sick 🙄😒";1
"en";"I love these dogs l had one that l adore and she died because of my x husband she couldn't handle the cold took chi… https://t.co/KyxVeypEx9";0
"en";"❤HIM (#latergram #freezing our butts off in PA)! #goodtimes #winter #love #engaged #couplegoals #smile #happy #cold… https://t.co/Xk7tdRtBzA";0
"en";"Sick day equals movie day. Watched #RememberMe for the first time. Didn't realize #RobPat would die in 9/11😭😭😭😭";0
"en";"Oh , you cold as ice baby .";0
"en";"I need to pay attention to the weather more closely. This cold front caught me by surprise.";0
"en";"Aaahhahaaaa 😭 ke tshwara ke flu";1
"en";"You're gonna catch a cold from the ice inside your soul love";0
"en";"tf i gotta be sick for";1
"en";"We're more than just a sushi restaurant! We serve hot and cold Japanese dishes like Prawn &amp; Coriander Gyoza. Check… https://t.co/zmOywIyXUM";0
"en";"Need to get back cold 😒";0
"en";"Pretty sure I have the plague, I haven't stopped being sick even for one day since I moved here in August";1
"en";"I feel like I turn into the biggest baby when I'm sick. All I want to do is crawl into bed and have someone give me tea and Vitamin C.";1
"en";"So many plans and if you're sick and the plan doesn't cover it you are screwed healthcare for all! cover all illnes… https://t.co/LG9x2PCLTV";0
"en";"Shorty Make Me Sick Feel Like I Gotta Cold 😷🤧🤒🤕😘😍";0
"en";"Being sick in college is the worst, I want my mom.";1
"en";"Anderson: $70M investment into public-private partnerships at @PortTampaBay like cold storage facility which is under construction @TB_Times";0
"en";"Very cold run tonight but worth it to see the beautiful sky at… https://t.co/Ywwvomf1bS";0
"en";"Two cannon balls roll into a pub. One says to the other, 'Are we on shots tonight?' You get my coat, I am sick of the walk up the hall.";
"en";"Betsy DeVos makes me so sick. Education is arguably the most important governmental department and she has 0 experience in what she's doing";
"en";"@chlocruz plot twist: actually have the flu 🤗🤗";
"en";"My heart starting to become cold 😕";
"en";"I wish you could send eggings/farts/punches through the phone, if someone pissed you off. That'd be so sick. 😂";
"en";"I thought I made it clear when I said 'you can borrow this, I know you're cold. L";
"en";"Your assistant takes no days off. Doesn't get sick. Never goes on vacation. Your assistant is always there for you.… https://t.co/v3LRKDaV9J";
"en";"@KaylaHeig Cold fries are the worst! Good thing we’re always serving them up hot. How about coupons for your next order? DM us for details.";
"en";"I don't know if it's me being sick or wholly another sympton but that last cup of coffee today tasted like iron in my mouth. G'night.";
"en";"I don't know if it's me being sick or wholly another sympton but that last cup of coffee today tasted like iron in my mouth. G'night.";
"en";"I'm tired of the cold can it just be summer already!";
"en";"so i guess magtutuloy tuloy na to sa flu 😷";
"en";"@iiBreakNecks 'why df you ain't eat it cold' https://t.co/WpcrKTLg35";
